Fire?,Project,Users,Records,Description,Stated aim,Collection method,URL,Creator,Creator contact,Found in,Data endpoint,Data collected,Scope,Notes
,How many potentially dangerous branches fall from mature eucalypts?,0,0,To determine how many potentially dangerous branches mature eucalypts drop over the period of one year. ,Count dangerous branches that mature eucalypts can drop in one year,Mobile,https://biocollect.ala.org.au/acsa/project/index/6d302fa8-8995-4f42-a85f-5eded54a4cce,Fenner School of Environment & Society (ANU),cara.parsons@anu.edu.au,BioCollect Project Finder,Atlas of Living Australia,,National,
,Echidna Watch,0,0,To gain information on wild echidna populations.,Map wild echidna populations.,Paper form,https://biocollect.ala.org.au/acsa/project/index/5766f99a-3e54-4e71-9ffa-390ce55ac1ad,Peggy Rismiller ,,BioCollect Project Finder,Atlas of Living Australia,,National,
,School of Ants,0,0,"Ants are deeply embedded in the Australian psyche. Whether you are aware of it or not, you encounter ants pretty much every day of your life in Australia. In Australia we’re interested in knowing what type of food ants prefer at this time of year in both green and paved areas. ",Determine ants' food preference in green and paved areas.,Paper form,http://schoolofants.net.au/,School of Ants,,BioCollect Project Finder,Atlas of Living Australia,,National,
,Weed Biological Control,,,"This project aims to collect and aggregate information on the known distribution, availability and redistribution methods of weed biological control agents in Australia. This will help to enhance community knowledge and adoption of biological control and enable its benefits to be enjoyed by more peo",Aggregate info re. weed biological control agents in Australia,Web,https://biocollect.ala.org.au/biocontrolhub,Australian BioControl Hub,Greg.Lefoe@dpi.vic.gov.au,BioCollect Project Finder,Atlas of Living Australia,,National,
,The CAUL Urban Wildlife App,,,"To better understand the ecology of wildlife in Australia's cities and towns, including the following groups: beneficial insects, bell frogs, flying-foxes, and possums and gliders.","Observe wildlife in urban areas such as insects, frogs, gliders, possums.",Mobile,https://nespurban.edu.au/platforms/caul-urban-wildlife-app/,NESP - Clean Air and Urban Landscapes Hub,k.parris@unimelb.edu.au,BioCollect Project Finder,Atlas of Living Australia,,National,
,Birds in Backyards,,,"Birds in Backyards is a research, education and conservation program focusing on the birds that live where people live. Get involved by becoming a member and taking part in our online surveys.",Identify birds that occur in populated areas,Mobile/Web,http://www.birdsinbackyards.net/,Birdlife Australia,info@birdlife.org.au,BioCollect Project Finder,Birdata,Presence,National,
,Bittern Project,,,This project aims to help ensure the long-term survival of bitterns as well as other species which inhabit the freshwater wetlands. The Bittern Project was started in 2007 in response to concerns over the plight of the Australasian and Australian Little Bittern. ,Monitor the survival of the bittern and other freshwater wetland birds,Mobile/Web,http://birdlife.org.au/projects/bittern-project,Birdlife Australia,info@birdlife.org.au,BioCollect Project Finder,Birdata,Presence,National,
,Important Bird and Biodiversity Areas,,,"Important Bird and Biodiversity Areas (IBAs) are sites of global bird conservation importance and BirdLife Australia has identified and documented almost all of the Australian IBAs. IBAs are priority areas for bird conservation and we aim to monitor birds at our IBAs, advocate their importance.",Monitor birds at Important Bird and Biodiversity Areas (IBAs),Mobile/Web,http://birdlife.org.au/projects/important-bird-areas,Birdlife Australia,info@birdlife.org.au,BioCollect Project Finder,Birdata,,National,
,Orange-bellied Parrot Recovery,,,"The Orange-bellied Parrot is one of the world's most endangered species. Together with the Australian and state governments, BirdLife Australia is trying to help save this migratory parrot from extinction. Read more about how you can help save the Orange-bellied Parrot.",Monitor the threatened migratory orange-bellied parrot,Mobile/Web,http://birdlife.org.au/projects/orange-bellied-parrot-recovery,Birdlife Australia,info@birdlife.org.au,BioCollect Project Finder,Birdata,,National,
,Butterflies Australia,,,To collect butterfly sightings records from around Australia for research and conservation.,Collect butterfly sightings,Mobile/Web,https://www.butterflies.org.au/external/home,ANU,australianbutterflies@gmail.com,BioCollect Project Finder,Originating institution,,National,
,Wildlife Spotter,,,Become a ‘Wildlife Spotter’ citizen scientist and assist researchers by looking for animals in wilderness photos taken by automated cameras around Australia.,Interpret camera trap images,DigiVol,https://volunteer.ala.org.au/wildlife-spotter,Australian Museum,DigiVol@austmus.gov.au,BioCollect Project Finder,Originating institution,,National,
,Report a Water Rat Project,,,"Platypus are difficult to study in the wild. If you have seen a water rat in the wild (either alive or dead), you have information that is vital to our understanding of the status, distribution and conservation needs of the species. Please report the details of your sighting(s) to the APC.",Record water rat sightings,Web,http://www.platypus.asn.au/reporting2.html,Australian Platypus Conservancy,platypus.apc@westnet.com.au,BioCollect Project Finder,Originating institution,,National,
,platypusSPOT,,,"platypusSPOT offers wildlife enthusiasts an opportunity to contribute to a community-driven database on platypus distribution, post photos and videos, view platypus sightings in your area, and interact with other ‘platypusSPOTters’. ",Record platypus sightings,Mobile,http://platypusspot.org/,Cesar Consulting,https://twitter.com/platypusSPOT,BioCollect Project Finder,Originating institution,,National,
,ClimateWatch,,,"ClimateWatch is the best way to record the seasonal behaviour you see in plants and animals, and help scientists understand how Australia’s environment is responding to climate change.",Record seasonal effects on behaviour of plants and animals,Mobile/Web,http://www.climatewatch.org.au/,EarthWatch Institute,climatewatch@earthwatch.org.au,BioCollect Project Finder,Originating institution,,National,
,EyeonWater Australia,,,Citizen Science helping improve satellite detection of water quality. The project aims to encourage the collection of a large amount of water colour and water quality data from citizen scientists to be used in the calibration of satellite derived information on water quality.,Use local water colour/quality data to interpret satellite images of water,Mobile,http://research.csiro.au/eyeonwater,Janet Anstee,janet.anstee@csiro.au,BioCollect Project Finder,Originating institution,,National,
,Wildlife Assist,,,"An app that records, monitors, and advises on providing Australian wildlife with food, water and shelter in the field","Map locations where wildlife need food, water, and shelter",Fieldwork,https://wildlifeassist.net/,Taronga Conservation Society Australia,jmartin@zoo.nsw.gov.au,BioCollect Project Finder,Originating institution,,National,
,KoalaTracker,,,"Australia's national crowdsourced koala map, plotting the locations of koala populations in the wild, points of impact, causes of death and injury.",Map koala populations and deaths across Australia,Web,https://www.koalatracker.com.au/,Alex Harris,https://www.koalatracker.com.au/contact,SEED Citizen Science Hub,Originating institution,,National,
,"The Great Cicada Blitz (NSW, Australia)",241,11534,"Ever wondered what makes all that noise over summer? Cicadas are synonymous with summer in Australia with over 350 species identified (however, up to as many as 1,000 species call Australia home). We have the richest diversity of cicadas in the world. Their unique calls form part of the â€˜soundtrack of summerâ€™. Despite this richness, very little research has been done on the ecological preferences of Australian cicadas. There is uncertainty sur...","Map cicadas and determine their ecological preferences, e.g. associated plants",Mobile/Web,https://inaturalist.ala.org.au/projects/5188,Nathan Emery,https://inaturalist.ala.org.au/messages/new?to=njemery,iNaturalist,iNaturalist & Atlas of Living Australia,Associated plant species | Number of cicadas,NSW,collection
Yes,Saving our Species (SoS) Mountain Pygmy-Possum bushfire recovery,1419,,Help us monitor how many Mountain Pygmy-Possum and other threatened animals are using to emergency food and water stations put out after the recent bushfires,Interpret camera traps at food/water stations to see if threatened animals are using them,DigiVol,https://volunteer.ala.org.au/institution/index/79594055,NSW DPIE,savingourspecies@environment.nsw.gov.au,SEED Citizen Science Hub,SEED,,NSW,
,WildCount,,,WildCount is NSW National Park and Wildlife Service’s long-term animal monitoring program. It uses motion-sensitive digital cameras at 200 sites across 146 parks and reserves in eastern New South Wales to track changes in wildlife over 10 years.,10-year animal monitoring with camera traps across NSW,Fieldwork,https://www.environment.nsw.gov.au/topics/animals-and-plants/surveys-monitoring-and-records/native-animal-monitoring,NSW DPIE,npws.wildcount@environment.nsw.gov.au,SEED Citizen Science Hub,BioNet & SEED,,NSW,
,Superb Parrot monitoring project,,,"The Department of Planning, Industry and Environment has been working with the community to collect important population and distribution information that will contribute to the understanding, conservation and management of the superb parrot.",Solicit sightings and stories of the superb parrot,Web,https://www.environment.nsw.gov.au/research-and-publications/your-research/citizen-science/get-involved/share-your-superb-parrot-stories-and-sightings,NSW DPIE,citizen.science@environment.nsw.gov.au,SEED Citizen Science Hub,SEED,,NSW,
,I Spy Koala (NSW Government),,,"The NSW Government has launched a new app – I Spy Koala. The app allows community members to record their sightings of koalas in the wild. App users can enter information about the location and condition of the koala, as well as photos and other information.",Map location and condition of koalas in the wild,Mobile,https://koala.nsw.gov.au/2019/08/26/new-koala-app-launched-i-spy-koala/,Saving Our Species,https://koala.nsw.gov.au/contacts/,SEED Citizen Science Hub,SEED,,NSW,
,Nature Near Me,4,85261,"Help us find all the diverse native plant and animal life in the greater Sydney Region. Wherever you are, from the Blue Mountains to the sea, show us nature in your life ... nature near me. A project of the National Parks Association - Sydney Region Branch (NPA Sydney). ",Collect flora and fauna observations in Greater Sydney region,Mobile/Web,https://inaturalist.ala.org.au/projects/61871,NA,https://inaturalist.ala.org.au/messages/new?to=dgstead,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,Regional,collection
Yes,Post Bushfire Wildlife Recovery volunteer observations NSW,15,47,"For use by volunteers conducting post bushfire wildlife recovery activities. Log observations of wildlife, or signs of wildlife when monitoring feed stations, water stations, and nest boxes, to help provide insight on which species are using which stations. You can also log observations of regenerating vegetation to help provide a record of the rate of regrowth and help inform on when to reduce supplementary feeding (this can also be added to ...",Record wildlife that use food/water stations and nest boxes in burnt bush,Mobile/Web,https://inaturalist.ala.org.au/projects/66455,Dr Jai Green-Barber,https://inaturalist.ala.org.au/messages/new?to=jaigreenbarber,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,Regional,traditional
,Rare Flora of the Sydney Basin Bioregion,2,2,To collect observations of rare (e.g. RoTAP) flora species from across the Sydney Basin Bioregion to assist in species conservation and research.,Locate rare/threatened Australian plants in the Sydney Basin,Mobile/Web,https://biocollect.ala.org.au/acsa/project/index/c92698e9-9929-4db2-bbf3-48acf6e92508,Narla Environmental,office@narla.com.au,BioCollect Project Finder,Atlas of Living Australia,,Regional,
,Greater Sydney - NSW Waterwatch,1,1,"Provide historical information on how waterways have changed over time, and demonstrate natural fluctuations or highlight local issues (ongoing or emerging) Demonstrate whether activities to protect and restore waterways are having the desired effect. Contribute to catchment planning or reporting.",Monitor local waterways,Mobile/Web,https://biocollect.ala.org.au/acsa/project/index/887636fa-2037-4945-b82d-61b33c245e0c,Waterwatch NSW,streamwatch@greatersydneylandcare.org,BioCollect Project Finder,Atlas of Living Australia,,Regional,
,Glossy Black-Cockatoo Project,,,"A major aim of the Glossy Black-Cockatoo project is to produce a regional management plan for the Glossy Black-Cockatoo in South East Queensland. This is dependant on accurate records of birds as well as their habitats, particularly feeding sites and nesting locations. ",Map feeding and nesting locations of glossy black cockatoo,Web,https://glossyblack.org.au/submit-sighting/,The Glossy Black Conservancy,GBC@biodiversity.tv,BioCollect Project Finder,Originating institution,,Regional,
,Who’s living on my land?,,,The “Who’s living on my land?” citizen science project aims to identify what ground-dwelling animals and feral pests are living on or moving through private property remnant vegetation within the Illawarra to Shoalhaven (I2S) and the Kanangra-Boyd to Wyangala regions of the Great Eastern Ranges.,Identify wildlife passing through remnant vegetation on private property,Camera trap,http://www.npansw.org.au/index.php/campaigns/citizen-science/who-s-living-on-my-land,National Parks Association NSW,citizenscience@npansw.org.au,BioCollect Project Finder,Originating institution,,Regional,
,Springwood Conservation Park,4,188,Discover the species diversity within Springwood Conservation Park,Collect flora and fauna observations in Springwood Conservation Park,Mobile/Web,https://inaturalist.ala.org.au/projects/90741,NA,https://inaturalist.ala.org.au/messages/new?to=environment_logancc,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,"Springwood Conservation Park, NSW",collection
,Thirlmere Lakes Citizen Science Program,,,To record wetland plant species in Thirlmere lakes to monitor the location and extent of the wetland over time.,Record wetland plants in Thirlmere Lakes to monitor wetland health.,Mobile,https://www.environment.nsw.gov.au/research-and-publications/our-science-and-research/our-research/water/freshwater-and-wetlands/thirlmere-lakes-research,NSW DPIE,info@environment.nsw.gov.au,SEED Citizen Science Hub,SEED,,Thirlmere Lakes National Park,
